epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.411,1.4755,2.56822,1.74851,0.33353,0.37371,0.30895,0.11519,1.87728,3.24656,2.56953,0.00047157,0.00047157,0.00047157
2,329.001,1.4335,2.02999,1.668,0.32644,0.40745,0.2952,0.10084,2.17084,3.81059,3.08281,0.000900982,0.000900982,0.000900982
3,461.917,1.45233,1.89928,1.67195,0.51264,0.48687,0.51717,0.23899,1.73364,2.46366,2.51479,0.00128324,0.00128324,0.00128324
4,907.998,1.41939,1.71299,1.63747,0.52972,0.65635,0.60973,0.2824,1.7344,2.99544,2.50155,0.00121679,0.00121679,0.00121679
5,1039.94,1.38472,1.58677,1.60839,0.736,0.63949,0.71802,0.37538,1.60081,1.64561,2.19656,0.00114606,0.00114606,0.00114606
6,1483.03,1.35908,1.43231,1.56882,0.69201,0.68262,0.78431,0.40949,1.58328,1.49106,2.20422,0.00107532,0.00107532,0.00107532
7,1617.13,1.35099,1.37613,1.56925,0.78916,0.76213,0.80996,0.41025,1.6424,1.2806,2.27829,0.00100459,0.00100459,0.00100459
8,2090.21,1.29652,1.28196,1.53084,0.78377,0.7901,0.8602,0.47945,1.51151,1.18275,2.1108,0.000933851,0.000933851,0.000933851
9,2226.13,1.26443,1.2084,1.49228,0.88626,0.78698,0.89193,0.54323,1.40664,1.00246,1.97904,0.000863116,0.000863116,0.000863116
10,2361.03,1.2673,1.18682,1.49566,0.84466,0.76726,0.86341,0.45632,1.60133,1.22441,2.17824,0.00079238,0.00079238,0.00079238
11,2491.83,1.17551,0.92634,1.55572,0.92228,0.86828,0.93409,0.55188,1.40567,0.94866,2.00217,0.000721645,0.000721645,0.000721645
12,2958.48,1.13273,0.80711,1.52529,0.93156,0.87482,0.94247,0.5764,1.39543,0.84257,1.95203,0.000650909,0.000650909,0.000650909
13,3087.37,1.09976,0.73073,1.47891,0.89279,0.9018,0.94136,0.58286,1.38866,0.79984,1.93524,0.000580174,0.000580174,0.000580174
14,3557.27,1.08034,0.70705,1.47244,0.9045,0.91675,0.95435,0.61145,1.32942,0.74854,1.90849,0.000509438,0.000509438,0.000509438
15,3684.97,1.04379,0.6553,1.44585,0.9241,0.88172,0.95012,0.60724,1.33518,0.74413,1.88982,0.000438703,0.000438703,0.000438703
16,4151.06,1.00747,0.61061,1.40734,0.93311,0.90174,0.95286,0.59833,1.39679,0.71342,1.98771,0.000367967,0.000367967,0.000367967
17,4280.51,0.99438,0.58823,1.40766,0.94729,0.91152,0.96343,0.63555,1.28006,0.6638,1.84401,0.000297232,0.000297232,0.000297232
18,4746.43,0.97013,0.55193,1.36258,0.95404,0.92133,0.96924,0.63768,1.28532,0.64072,1.83688,0.000226497,0.000226497,0.000226497
19,4871.63,0.9235,0.52695,1.3324,0.96052,0.92761,0.97096,0.64528,1.27653,0.59997,1.83332,0.000155761,0.000155761,0.000155761
20,5340.12,0.89665,0.50014,1.32579,0.93534,0.95526,0.97512,0.65648,1.26542,0.59988,1.82732,8.50255e-05,8.50255e-05,8.50255e-05
